,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596478200,10.11.0.174:9091,0.1449999999999803,10.11.0.174:9091,0.44271790815859235
1,1596478800,10.11.0.174:9091,0.1424666666667676,10.11.0.174:9091,0.442562560374373
2,1596479400,10.11.0.174:9091,0.14399999999975988,10.11.0.174:9091,0.44315612047498976
3,1596480000,10.11.0.174:9091,0.1441333333333722,10.11.0.174:9091,0.44268451091507943
4,1596480600,10.11.0.174:9091,0.14246666666666327,10.11.0.174:9091,0.4426814748020328
5,1596481200,10.11.0.174:9091,0.14273333333319765,10.11.0.174:9091,0.44302000140673237
6,1596481800,10.11.0.174:9091,0.14326666666657883,10.11.0.174:9091,0.44249576588734707
7,1596482400,10.11.0.174:9091,0.14314001320088454,10.11.0.174:9091,0.44258988539179267
8,1596483000,10.11.0.174:9091,0.14526666666671495,10.11.0.174:9091,0.44267034238752845
9,1596483600,10.11.0.174:9091,0.14380000000004656,10.11.0.174:9091,0.4423242255002122
10,1596484200,10.11.0.174:9091,0.14846666666657257,10.11.0.174:9091,0.44262530671067
11,1596484800,10.11.0.174:9091,0.14853333333345783,10.11.0.174:9091,0.4425893793729516
12,1596485400,10.11.0.174:9091,0.1478000000001007,10.11.0.174:9091,0.4428535212080087
13,1596486000,10.11.0.174:9091,0.1468000000000378,10.11.0.174:9091,0.44265414978461304
14,1596486600,10.11.0.174:9091,0.1479333333334732,10.11.0.174:9091,0.44274371511948873
15,1596487200,10.11.0.174:9091,0.14659999999984696,10.11.0.174:9091,0.44264251135126764
16,1596487800,10.11.0.174:9091,0.1462000000001218,10.11.0.174:9091,0.44193003682299103
17,1596488400,10.11.0.174:9091,0.14846666666682115,10.11.0.174:9091,0.44219367263920706
18,1596489000,10.11.0.174:9091,0.14373045872405846,10.11.0.174:9091,0.4424836214351605
19,1596489600,10.11.0.174:9091,0.14593333333321742,10.11.0.174:9091,0.4425023441322814
20,1596490200,10.11.0.174:9091,0.14306666666676252,10.11.0.174:9091,0.44268906508464934
21,1596490800,10.11.0.174:9091,0.1463736527422808,10.11.0.174:9091,0.4428079795123092
22,1596491400,10.11.0.174:9091,0.14513333333343326,10.11.0.174:9091,0.44275889568472193
23,1596492000,10.11.0.174:9091,0.14246666666649616,10.11.0.174:9091,0.4421268781521811
24,1596492600,10.11.0.174:9091,0.1438666666668423,10.11.0.174:9091,0.44234851440458534
25,1596493200,10.11.0.174:9091,0.14459999999983686,10.11.0.174:9091,0.4422629972204385
26,1596493800,10.11.0.174:9091,0.14420000000011593,10.11.0.174:9091,0.44284340083118656
27,1596494400,10.11.0.174:9091,0.14279999999993231,10.11.0.174:9091,0.4425372594323177
28,1596495000,10.11.0.174:9091,0.14433333333358267,10.11.0.174:9091,0.4429036170732781
29,1596495600,10.11.0.174:9091,0.142333333333345,10.11.0.174:9091,0.44291677356314685
30,1596496200,10.11.0.174:9091,0.1446000000002141,10.11.0.174:9091,0.44292841199649224
31,1596496800,10.11.0.174:9091,0.1449999999998302,10.11.0.174:9091,0.4428302443413178
32,1596497400,10.11.0.174:9091,0.14046666666663293,10.11.0.174:9091,0.44289349669645595
33,1596498000,10.11.0.174:9091,0.14239999999986902,10.11.0.174:9091,0.442840870736981
34,1596498600,10.11.0.174:9091,0.14499999999993501,10.11.0.174:9091,0.44240974268435906
35,1596499200,10.11.0.174:9091,0.14593333333345676,10.11.0.174:9091,0.44252056081056124
36,1596499800,10.11.0.174:9091,0.14286666666667466,10.11.0.174:9091,0.44249475384966486
37,1596500400,10.11.0.174:9091,0.141806617642299,10.11.0.174:9091,0.4426571858976597
38,1596501000,10.11.0.174:9091,0.1455372143258575,10.11.0.174:9091,0.4429547249762298
39,1596501600,10.11.0.174:9091,0.1427333333332157,10.11.0.174:9091,0.4430625069893852
40,1596502200,10.11.0.174:9091,0.1443333333334265,10.11.0.174:9091,0.44263542708749215
41,1596502800,10.11.0.174:9091,0.14506666666681972,10.11.0.174:9091,0.44314701213584984
42,1596503400,10.11.0.174:9091,0.14306952805715387,10.11.0.174:9091,0.4429101953182125
43,1596504000,10.11.0.174:9091,0.14400000000003274,10.11.0.174:9091,0.4424244172307512
44,1596504600,10.11.0.174:9091,0.143866666666745,10.11.0.174:9091,0.44231461114223125
45,1596505200,10.11.0.174:9091,0.14640195202604858,10.11.0.174:9091,0.4421830462435439
46,1596505800,10.11.0.174:9091,0.14373333333317687,10.11.0.174:9091,0.4422306120146078
47,1596506400,10.11.0.174:9091,0.14533720899214253,10.11.0.174:9091,0.44258077705265275
