,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596478200,10.11.1.80:9091,0.447620888975185,10.11.1.80:9091,0.3590385800149889
1,1596478800,10.11.1.80:9091,0.48246666666679167,10.11.1.80:9091,0.3604369475577337
2,1596479400,10.11.1.80:9091,0.4483999999996635,10.11.1.80:9091,0.3592028011143148
3,1596480000,10.11.1.80:9091,0.4440666666666585,10.11.1.80:9091,0.36062555300211097
4,1596480600,10.11.1.80:9091,0.46366666666653017,10.11.1.80:9091,0.35964545162295236
5,1596481200,10.11.1.80:9091,0.42633333333335954,10.11.1.80:9091,0.35922718545936627
6,1596481800,10.11.1.80:9091,0.44573333333315684,10.11.1.80:9091,0.3597001919893943
7,1596482400,10.11.1.80:9091,0.43700000000003475,10.11.1.80:9091,0.35981738613754966
8,1596483000,10.11.1.80:9091,0.45913333333312356,10.11.1.80:9091,0.35941902556176053
9,1596483600,10.11.1.80:9091,0.475333333333171,10.11.1.80:9091,0.3593700080518103
10,1596484200,10.11.1.80:9091,0.4252666666668303,10.11.1.80:9091,0.3607432447899612
11,1596484800,10.11.1.80:9091,0.4611999999999641,10.11.1.80:9091,0.35979474353143037
12,1596485400,10.11.1.80:9091,0.42393333333353306,10.11.1.80:9091,0.3606924855410787
13,1596486000,10.11.1.80:9091,0.43826666666660774,10.11.1.80:9091,0.36032000222942584
14,1596486600,10.11.1.80:9091,0.43026666666671354,10.11.1.80:9091,0.3603421471958501
15,1596487200,10.11.1.80:9091,0.4313999999999943,10.11.1.80:9091,0.3595170605816612
16,1596487800,10.11.1.80:9091,0.46886979246513416,10.11.1.80:9091,0.35971437472069967
17,1596488400,10.11.1.80:9091,0.4228666666668642,10.11.1.80:9091,0.3605240345043459
18,1596489000,10.11.1.80:9091,0.4488666666668951,10.11.1.80:9091,0.35982534837266844
19,1596489600,10.11.1.80:9091,0.42793333333301253,10.11.1.80:9091,0.3602789469545944
20,1596490200,10.11.1.80:9091,0.42853333333348187,10.11.1.80:9091,0.35981813259709194
21,1596490800,10.11.1.80:9091,0.4761333333334399,10.11.1.80:9091,0.36037598669510507
22,1596491400,10.11.1.80:9091,0.47226666666666756,10.11.1.80:9091,0.3597922553329558
23,1596492000,10.11.1.80:9091,0.46986666666658344,10.11.1.80:9091,0.3596857604382414
24,1596492600,10.11.1.80:9091,0.46499999999997127,10.11.1.80:9091,0.3597925041528033
25,1596493200,10.11.1.80:9091,0.47326666666653494,10.11.1.80:9091,0.3598614272505506
26,1596493800,10.11.1.80:9091,0.4595333333331823,10.11.1.80:9091,0.35990546836355164
27,1596494400,10.11.1.80:9091,0.4541333333333447,10.11.1.80:9091,0.3600975572857935
28,1596495000,10.11.1.80:9091,0.4354000000001648,10.11.1.80:9091,0.3613361824864667
29,1596495600,10.11.1.80:9091,0.47413333333345264,10.11.1.80:9091,0.35981166328105796
30,1596496200,10.11.1.80:9091,0.4093360622400805,10.11.1.80:9091,0.3624902089390023
31,1596496800,10.11.1.80:9091,0.45493333333330155,10.11.1.80:9091,0.3601759355377445
32,1596497400,10.11.1.80:9091,0.48986666666653944,10.11.1.80:9091,0.3600301271071309
33,1596498000,10.11.1.80:9091,0.4552666666667725,10.11.1.80:9091,0.35974000316498844
34,1596498600,10.11.1.80:9091,0.5508519772803262,10.11.1.80:9091,0.35963699174813857
35,1596499200,10.11.1.80:9091,0.5653333333334287,10.11.1.80:9091,0.3596914832947331
36,1596499800,10.11.1.80:9091,0.5715638167372158,10.11.1.80:9091,0.35979897346883727
37,1596500400,10.11.1.80:9091,0.5437999999998512,10.11.1.80:9091,0.36039240880503776
38,1596501000,10.11.1.80:9091,0.5349297671350739,10.11.1.80:9091,0.3597949923512779
39,1596501600,10.11.1.80:9091,0.5696628689141454,10.11.1.80:9091,0.359930350348298
40,1596502200,10.11.1.80:9091,0.5034666666665877,10.11.1.80:9091,0.3598738682429238
41,1596502800,10.11.1.80:9091,0.5798666666670459,10.11.1.80:9091,0.3601816583942361
42,1596503400,10.11.1.80:9091,0.5745333333330792,10.11.1.80:9091,0.36039738520198694
43,1596504000,10.11.1.80:9091,0.5750000000000303,10.11.1.80:9091,0.359801461667312
44,1596504600,10.11.1.80:9091,0.5699734012413527,10.11.1.80:9091,0.35948769983966045
45,1596505200,10.11.1.80:9091,0.5705333333333544,10.11.1.80:9091,0.36023988223854264
46,1596505800,10.11.1.80:9091,0.561866666666941,10.11.1.80:9091,0.3620164559494319
47,1596506400,10.11.1.80:9091,0.537000000000065,10.11.1.80:9091,0.35990621482309404
48,1596507000,10.11.1.80:9091,0.5328666666667552,10.11.1.80:9091,0.3600983037453359
49,1596507600,10.11.1.80:9091,0.549999999999979,10.11.1.80:9091,0.360499401339447
50,1596508200,10.11.1.80:9091,0.5512666666663034,10.11.1.80:9091,0.35982534837266844
51,1596508800,10.11.1.80:9091,0.5268000000001335,10.11.1.80:9091,0.3614205324147568
52,1596509400,10.11.1.80:9091,0.531529789801509,10.11.1.80:9091,0.3600448074781313
53,1596510000,10.11.1.80:9091,0.5418252851800841,10.11.1.80:9091,0.3615021453247248
54,1596510600,10.11.1.80:9091,0.579337195581341,10.11.1.80:9091,0.3596255460351553
55,1596511200,10.11.1.80:9091,0.6044282066497824,10.11.1.80:9091,0.35742274392556106
56,1596511800,10.11.1.80:9091,0.5822000000001586,10.11.1.80:9091,0.357811400527299
57,1596512400,10.11.1.80:9091,0.5346702311350415,10.11.1.80:9091,0.3572020407208609
58,1596513000,10.11.1.80:9091,0.580799999999728,10.11.1.80:9091,0.3576315037775829
59,1596513600,10.11.1.80:9091,0.7160714404764479,10.11.1.80:9091,0.35757502167220867
60,1596514200,10.11.1.80:9091,0.5866627555815235,10.11.1.80:9091,0.3576143352081079
61,1596514800,10.11.1.80:9091,0.5618666666661921,10.11.1.80:9091,0.3593615481769965
62,1596515400,10.11.1.80:9091,0.519466666667034,10.11.1.80:9091,0.35725752754684537
63,1596516000,10.11.1.80:9091,0.4949333333334138,10.11.1.80:9091,0.35718362805214865
64,1596516600,10.11.1.80:9091,0.5661446562267269,10.11.1.80:9091,0.35783877071051995
65,1596517200,10.11.1.80:9091,0.5542629715798917,10.11.1.80:9091,0.35743593137747665
66,1596517800,10.11.1.80:9091,0.5515480412813512,10.11.1.80:9091,0.35766932439439736
67,1596518400,10.11.1.80:9091,0.5625333333334598,10.11.1.80:9091,0.3580525069594911
68,1596519000,10.11.1.80:9091,0.576199999999758,10.11.1.80:9091,0.35783901953036745
69,1596519600,10.11.1.80:9091,0.5385512850427694,10.11.1.80:9091,0.35777183817155234
70,1596520200,10.11.1.80:9091,0.5638629075805158,10.11.1.80:9091,0.3578952528158942
71,1596520800,10.11.1.80:9091,0.5565333333331076,10.11.1.80:9091,0.35710848445821464
72,1596521400,10.11.1.80:9091,0.5643887122256789,10.11.1.80:9091,0.3569965155268561
73,1596522000,10.11.1.80:9091,0.5284666666665877,10.11.1.80:9091,0.35802215093810064
74,1596522600,10.11.1.80:9091,0.5623483292888594,10.11.1.80:9091,0.3576601180600413
75,1596523200,10.11.1.80:9091,0.5219333333331634,10.11.1.80:9091,0.3571318735238762
76,1596523800,10.11.1.80:9091,0.57866280891496,10.11.1.80:9091,0.3578892811395551
77,1596524400,10.11.1.80:9091,0.5547185408389569,10.11.1.80:9091,0.35744240069351063
78,1596525000,10.11.1.80:9091,0.6017253103291575,10.11.1.80:9091,0.3570816119146887
79,1596525600,10.11.1.80:9091,0.5592666666664582,10.11.1.80:9091,0.35766832911500757
80,1596526200,10.11.1.80:9091,0.5608629275806533,10.11.1.80:9091,0.3574782307515454
81,1596526800,10.11.1.80:9091,0.5750000000001317,10.11.1.80:9091,0.357310526174355
82,1596527400,10.11.1.80:9091,0.5740666666668647,10.11.1.80:9091,0.3578054288509599
83,1596528000,10.11.1.80:9091,0.5796193206439038,10.11.1.80:9091,0.3579007268525384
84,1596528600,10.11.1.80:9091,0.5668628875803431,10.11.1.80:9091,0.3576165745867351
85,1596529200,10.11.1.80:9091,0.5612666666665065,10.11.1.80:9091,0.3577922413990443
86,1596529800,10.11.1.80:9091,0.5630629129140159,10.11.1.80:9091,0.3579644247334891
87,1596530400,10.11.1.80:9091,0.569152305076899,10.11.1.80:9091,0.3578673849929783
88,1596531000,10.11.1.80:9091,0.5795333333333444,10.11.1.80:9091,0.35768052128753325
89,1596531600,10.11.1.80:9091,0.5695371302473932,10.11.1.80:9091,0.35758572092564966
90,1596532200,10.11.1.80:9091,0.5513999999999064,10.11.1.80:9091,0.35744663063091753
91,1596532800,10.11.1.80:9091,0.5577999999999019,10.11.1.80:9091,0.3574633015606976
92,1596533400,10.11.1.80:9091,0.5062000000001534,10.11.1.80:9091,0.3586382288804202
93,1596534000,10.11.1.80:9091,0.5181333333332092,10.11.1.80:9091,0.35934462842736903
94,1596534600,10.11.1.80:9091,0.5090666666670359,10.11.1.80:9091,0.35914955366695767
95,1596535200,10.11.1.80:9091,0.5164666666666425,10.11.1.80:9091,0.35971860465810657
96,1596535800,10.11.1.80:9091,0.5108666666668265,10.11.1.80:9091,0.3588599273645101
97,1596536400,10.11.1.80:9091,0.5411333333336054,10.11.1.80:9091,0.35812814819312
98,1596537000,10.11.1.80:9091,0.520466666666689,10.11.1.80:9091,0.36013313852398077
99,1596537600,10.11.1.80:9091,0.5406666666666661,10.11.1.80:9091,0.357364768901102
100,1596538200,10.11.1.80:9091,0.5068666666667211,10.11.1.80:9091,0.35881862326983116
101,1596538800,10.11.1.80:9091,0.5073333333332906,10.11.1.80:9091,0.3573729799560683
102,1596539400,10.11.1.80:9091,0.4995333333332701,10.11.1.80:9091,0.3579064497090301
103,1596540000,10.11.1.80:9091,0.46620000000021566,10.11.1.80:9091,0.357620804524142
104,1596540600,10.11.1.80:9091,0.5048000000001805,10.11.1.80:9091,0.3576996804157879
105,1596541200,10.11.1.80:9091,0.48126666666633366,10.11.1.80:9091,0.3573906461652383
106,1596541800,10.11.1.80:9091,0.49606666666659466,10.11.1.80:9091,0.35792536001743724
107,1596542400,10.11.1.80:9091,0.4671999999999982,10.11.1.80:9091,0.3579514861014209
108,1596543000,10.11.1.80:9091,0.49666666666666376,10.11.1.80:9091,0.35833392220697236
109,1596543600,10.11.1.80:9091,0.4835333333332287,10.11.1.80:9091,0.35774148215016177
110,1596544200,10.11.1.80:9091,0.46526666666683325,10.11.1.80:9091,0.3582301643305801
111,1596544800,10.11.1.80:9091,0.4880666666671217,10.11.1.80:9091,0.3577205812829749
112,1596545400,10.11.1.80:9091,0.5083999999998574,10.11.1.80:9091,0.3577310317165683
113,1596546000,10.11.1.80:9091,0.5184632102450648,10.11.1.80:9091,0.3578683802723681
114,1596546600,10.11.1.80:9091,0.5304666666667575,10.11.1.80:9091,0.35725926928577756
115,1596547200,10.11.1.80:9091,0.5208666666668281,10.11.1.80:9091,0.35749888279888486
116,1596547800,10.11.1.80:9091,0.5157333333335905,10.11.1.80:9091,0.35758572092564966
117,1596548400,10.11.1.80:9091,0.4814000000000246,10.11.1.80:9091,0.35742174864617116
118,1596549000,10.11.1.80:9091,0.5023333333329993,10.11.1.80:9091,0.357957955417455
119,1596549600,10.11.1.80:9091,0.46359999999987084,10.11.1.80:9091,0.3581229229763233
120,1596550200,10.11.1.80:9091,0.46413333333318285,10.11.1.80:9091,0.35784250300823195
121,1596550800,10.11.1.80:9091,0.4466666666665242,10.11.1.80:9091,0.35750759149354616
122,1596551400,10.11.1.80:9091,0.4614666666665183,10.11.1.80:9091,0.35758845794397176
123,1596552000,10.11.1.80:9091,0.4908000000000917,10.11.1.80:9091,0.3580350895701687
124,1596552600,10.11.1.80:9091,0.4493333333333506,10.11.1.80:9091,0.35734660505223725
125,1596553200,10.11.1.80:9091,0.4650666666663999,10.11.1.80:9091,0.35768201420661805
126,1596553800,10.11.1.80:9091,0.4900666666666835,10.11.1.80:9091,0.35726175748425215
127,1596554400,10.11.1.80:9091,0.4783333333333546,10.11.1.80:9091,0.35800597764801545
128,1596555000,10.11.1.80:9091,0.4613333333334081,10.11.1.80:9091,0.35800000597167636
129,1596555600,10.11.1.80:9091,0.45386666666671627,10.11.1.80:9091,0.3577131166875509
130,1596556200,10.11.1.80:9091,0.45780000000018406,10.11.1.80:9091,0.35775740662039945
131,1596556800,10.11.1.80:9091,0.4131333333331426,10.11.1.80:9091,0.3586307642849963
132,1596557400,10.11.1.80:9091,0.641333333333443,10.11.1.80:9091,0.3578676338128257
133,1596558000,10.11.1.80:9091,0.4961999999999051,10.11.1.80:9091,0.35744687945076503
134,1596558600,10.11.1.80:9091,0.45166666666647276,10.11.1.80:9091,0.3572095053162848
135,1596559200,10.11.1.80:9091,0.4554000000002315,10.11.1.80:9091,0.3581047591274584
136,1596559800,10.11.1.80:9091,0.45873333333316935,10.11.1.80:9091,0.35726797798043874
137,1596560400,10.11.1.80:9091,0.4535333333333483,10.11.1.80:9091,0.3576225462630742
138,1596561000,10.11.1.80:9091,0.43806666666695193,10.11.1.80:9091,0.35883429892022134
139,1596561600,10.11.1.80:9091,0.4521999999999252,10.11.1.80:9091,0.3575339663973772
140,1596562200,10.11.1.80:9091,0.4533333333333608,10.11.1.80:9091,0.3575775098706834
141,1596562800,10.11.1.80:9091,0.4477333333336112,10.11.1.80:9091,0.35727046617891345
142,1596563400,10.11.1.80:9091,0.4513333333337809,10.11.1.80:9091,0.35825952507258074
143,1596564000,10.11.1.80:9091,0.474199999999969,10.11.1.80:9091,0.35826997550617423
144,1596564600,10.11.1.80:9091,0.44846666666656665,10.11.1.80:9091,0.3578952528158942
145,1596565200,10.11.1.80:9091,0.453399999999809,10.11.1.80:9091,0.35933144097545344
146,1596565800,10.11.1.80:9091,0.4414666666670671,10.11.1.80:9091,0.358550644294113
147,1596566400,10.11.1.80:9091,0.39679999999997106,10.11.1.80:9091,0.35760363595466704
148,1596567000,10.11.1.80:9091,0.45860000000004675,10.11.1.80:9091,0.35825728569395354
149,1596567600,10.11.1.80:9091,0.4150000000001273,10.11.1.80:9091,0.35842698082992364
150,1596568200,10.11.1.80:9091,0.4531999999999442,10.11.1.80:9091,0.3582142398603424
151,1596568800,10.11.1.80:9091,0.46806666666667907,10.11.1.80:9091,0.3584590785902465
152,1596569400,10.11.1.80:9091,0.4128000000000974,10.11.1.80:9091,0.3579059520693352
153,1596570000,10.11.1.80:9091,0.4543333333333416,10.11.1.80:9091,0.3581983153901047
154,1596570600,10.11.1.80:9091,0.45759999999970824,10.11.1.80:9091,0.358305805564209
155,1596571200,10.11.1.80:9091,0.4633333333332242,10.11.1.80:9091,0.35783752661128265
156,1596571800,10.11.1.80:9091,0.42806666666672166,10.11.1.80:9091,0.35800622646786295
157,1596572400,10.11.1.80:9091,0.46546666666671643,10.11.1.80:9091,0.3582841582374796
158,1596573000,10.11.1.80:9091,0.4642666666665264,10.11.1.80:9091,0.3578156304647059
159,1596573600,10.11.1.80:9091,0.4559999999996915,10.11.1.80:9091,0.358039568327423
160,1596574200,10.11.1.80:9091,0.4702666666667347,10.11.1.80:9091,0.3588666455003916
161,1596574800,10.11.1.80:9091,0.4292000000000737,10.11.1.80:9091,0.35983206650854993
162,1596575400,10.11.1.80:9091,0.448866666666739,10.11.1.80:9091,0.3581236694358657
163,1596576000,10.11.1.80:9091,0.45360302401978714,10.11.1.80:9091,0.3582933645718358
164,1596576600,10.11.1.80:9091,0.4356666666670208,10.11.1.80:9091,0.358063703852627
165,1596577200,10.11.1.80:9091,0.44366666666643445,10.11.1.80:9091,0.35823762892600397
166,1596577800,10.11.1.80:9091,0.45780000000020366,10.11.1.80:9091,0.3581968224710199
167,1596578400,10.11.1.80:9091,0.4552666666666378,10.11.1.80:9091,0.35793332225255614
168,1596579000,10.11.1.80:9091,0.4569999999997329,10.11.1.80:9091,0.3584725148620095
169,1596579600,10.11.1.80:9091,0.44860000000031813,10.11.1.80:9091,0.35817965390154494
170,1596580200,10.11.1.80:9091,0.4596666666665761,10.11.1.80:9091,0.35827146842525903
171,1596580800,10.11.1.80:9091,0.4614666666665123,10.11.1.80:9091,0.35809082521600055
172,1596581400,10.11.1.80:9091,0.4760666666668461,10.11.1.80:9091,0.3580592250953727
173,1596582000,10.11.1.80:9091,0.4550666666665317,10.11.1.80:9091,0.3584501210757378
174,1596582600,10.11.1.80:9091,0.4544000000003342,10.11.1.80:9091,0.3591000385173124
175,1596583200,10.11.1.80:9091,0.44304894470903466,10.11.1.80:9091,0.35997364500175666
176,1596583800,10.11.1.80:9091,0.45226666666660104,10.11.1.80:9091,0.3581470585015273
177,1596584400,10.11.1.80:9091,0.44026666666639214,10.11.1.80:9091,0.3582936133916832
178,1596585000,10.11.1.80:9091,0.4607999999997464,10.11.1.80:9091,0.35856706640404556
179,1596585600,10.11.1.80:9091,0.4776000000000432,10.11.1.80:9091,0.35850909137958664
180,1596586200,10.11.1.80:9091,0.46973020179905356,10.11.1.80:9091,0.3577059009119745
181,1596586800,10.11.1.80:9091,0.4350666666665456,10.11.1.80:9091,0.35883255718128915
182,1596587400,10.11.1.80:9091,0.45700304668687464,10.11.1.80:9091,0.3582908763733611
183,1596588000,10.11.1.80:9091,0.459400000000287,10.11.1.80:9091,0.3581980665702573
184,1596588600,10.11.1.80:9091,0.4960666666669932,10.11.1.80:9091,0.3578862953013855
185,1596589200,10.11.1.80:9091,0.45520000000001803,10.11.1.80:9091,0.35783678015174025
186,1596589800,10.11.1.80:9091,0.45266666666663996,10.11.1.80:9091,0.35891690710957924
187,1596590400,10.11.1.80:9091,0.5087333333333786,10.11.1.80:9091,0.35917219627307684
188,1596591000,10.11.1.80:9091,0.4509333333335479,10.11.1.80:9091,0.35892710872332523
189,1596591600,10.11.1.80:9091,0.4758666666665447,10.11.1.80:9091,0.3585367103826551
