,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596478200,10.11.0.107:9091,0.09046666666669352,10.11.0.107:9091,0.3144191732757011
1,1596478800,10.11.0.107:9091,0.0911333333333626,10.11.0.107:9091,0.3144798955980871
2,1596479400,10.11.0.107:9091,0.08566666666660011,10.11.0.107:9091,0.3147895794422554
3,1596480000,10.11.0.107:9091,0.08773333333333544,10.11.0.107:9091,0.31462967732663905
4,1596480600,10.11.0.107:9091,0.08666666666657344,10.11.0.107:9091,0.31476782061006703
5,1596481200,10.11.0.107:9091,0.08853333333332934,10.11.0.107:9091,0.314072550018748
6,1596481800,10.11.0.107:9091,0.0882666666666683,10.11.0.107:9091,0.3140406707994954
7,1596482400,10.11.0.107:9091,0.0859333333332969,10.11.0.107:9091,0.31379322733577264
8,1596483000,10.11.0.107:9091,0.08640000000011781,10.11.0.107:9091,0.3142860901858052
9,1596483600,10.11.0.107:9091,0.08499999999994542,10.11.0.107:9091,0.3148179165260354
10,1596484200,10.11.0.107:9091,0.09120000000006712,10.11.0.107:9091,0.314439920069183
11,1596484800,10.11.0.107:9091,0.08693333333342783,10.11.0.107:9091,0.314821458661508
12,1596485400,10.11.0.107:9091,0.08766666666663239,10.11.0.107:9091,0.31466965285554316
13,1596486000,10.11.0.107:9091,0.0889333333333117,10.11.0.107:9091,0.3147399895456402
14,1596486600,10.11.0.107:9091,0.08453107917118922,10.11.0.107:9091,0.3144798955980871
15,1596487200,10.11.0.107:9091,0.0916666666665236,10.11.0.107:9091,0.3141519950572029
16,1596487800,10.11.0.107:9091,0.08899999999994634,10.11.0.107:9091,0.313978936438403
17,1596488400,10.11.0.107:9091,0.08813333333333351,10.11.0.107:9091,0.3141266940895422
18,1596489000,10.11.0.107:9091,0.08680000000003323,10.11.0.107:9091,0.3149606139836424
19,1596489600,10.11.0.107:9091,0.08646666666656912,10.11.0.107:9091,0.3146053883976847
20,1596490200,10.11.0.107:9091,0.08293333333323213,10.11.0.107:9091,0.3147298691585758
21,1596490800,10.11.0.107:9091,0.08680000000003324,10.11.0.107:9091,0.3143321379469479
22,1596491400,10.11.0.107:9091,0.0869333333333301,10.11.0.107:9091,0.31426584941167657
23,1596492000,10.11.0.107:9091,0.08553333333328746,10.11.0.107:9091,0.31475162799076417
24,1596492600,10.11.0.107:9091,0.08766666666666878,10.11.0.107:9091,0.31391416596119137
25,1596493200,10.11.0.107:9091,0.08726666666669719,10.11.0.107:9091,0.31360853027184876
26,1596493800,10.11.0.107:9091,0.08913333333328036,10.11.0.107:9091,0.3140452249736744
27,1596494400,10.11.0.107:9091,0.08980000000000017,10.11.0.107:9091,0.3142015849538181
28,1596495000,10.11.0.107:9091,0.08753333333327129,10.11.0.107:9091,0.314636761597584
29,1596495600,10.11.0.107:9091,0.08559999999993123,10.11.0.107:9091,0.31498085475777104
30,1596496200,10.11.0.107:9091,0.09019999999993766,10.11.0.107:9091,0.3156973781619252
31,1596496800,10.11.0.107:9091,0.09526666666660352,10.11.0.107:9091,0.315568343226855
32,1596497400,10.11.0.107:9091,0.0902666666667263,10.11.0.107:9091,0.3151761782281125
33,1596498000,10.11.0.107:9091,0.08653333333334709,10.11.0.107:9091,0.31581224455510526
34,1596498600,10.11.0.107:9091,0.0913333333332336,10.11.0.107:9091,0.3149990714544868
35,1596499200,10.11.0.107:9091,0.08600000000004993,10.11.0.107:9091,0.3151670698797546
36,1596499800,10.11.0.107:9091,0.08473333333333134,10.11.0.107:9091,0.3148255068163337
37,1596500400,10.11.0.107:9091,0.08373333333334661,10.11.0.107:9091,0.31536644150492177
38,1596501000,10.11.0.107:9091,0.08406666666656595,10.11.0.107:9091,0.3157115467038152
39,1596501600,10.11.0.107:9091,0.0844666666667922,10.11.0.107:9091,0.31542058557571595
40,1596502200,10.11.0.107:9091,0.08520000000000738,10.11.0.107:9091,0.3159271109482853
41,1596502800,10.11.0.107:9091,0.0817333333332651,10.11.0.107:9091,0.3158846053226152
42,1596503400,10.11.0.107:9091,0.08512879313096848,10.11.0.107:9091,0.3157889676648573
43,1596504000,10.11.0.107:9091,0.08066666666671152,10.11.0.107:9091,0.31537251373716035
44,1596504600,10.11.0.107:9091,0.08552934196396086,10.11.0.107:9091,0.3151701059958739
45,1596505200,10.11.0.107:9091,0.08679999999992105,10.11.0.107:9091,0.31501779417055586
46,1596505800,10.11.0.107:9091,0.08746666666665158,10.11.0.107:9091,0.31550762090446915
47,1596506400,10.11.0.107:9091,0.08473333333328441,10.11.0.107:9091,0.3160030138512677
48,1596507000,10.11.0.107:9091,0.0868678249042448,10.11.0.107:9091,0.3158800511484362
49,1596507600,10.11.0.107:9091,0.08899999999990844,10.11.0.107:9091,0.31550913896252875
50,1596508200,10.11.0.107:9091,0.08206666666665721,10.11.0.107:9091,0.3160050379286806
51,1596508800,10.11.0.107:9091,0.08326666666674404,10.11.0.107:9091,0.31551419915606094
52,1596509400,10.11.0.107:9091,0.08473333333323509,10.11.0.107:9091,0.3148270248743933
53,1596510000,10.11.0.107:9091,0.08573333333327203,10.11.0.107:9091,0.31507143222199674
54,1596510600,10.11.0.107:9091,0.08313333333333427,10.11.0.107:9091,0.3154509467369089
55,1596511200,10.11.0.107:9091,0.08480000000000244,10.11.0.107:9091,0.31528952656323295
56,1596511800,10.11.0.107:9091,0.08726666666663505,10.11.0.107:9091,0.3160030138512677
57,1596512400,10.11.0.107:9091,0.08673333333325597,10.11.0.107:9091,0.3157130647618749
58,1596513000,10.11.0.107:9091,0.08326611155937914,10.11.0.107:9091,0.31576417271654966
