,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596499200,10.11.0.174:9091,0.14593333333345676,10.11.0.174:9091,0.44252056081056124
1,1596499800,10.11.0.174:9091,0.14286666666667466,10.11.0.174:9091,0.44249475384966486
2,1596500400,10.11.0.174:9091,0.141806617642299,10.11.0.174:9091,0.4426571858976597
3,1596501000,10.11.0.174:9091,0.1455372143258575,10.11.0.174:9091,0.4429547249762298
4,1596501600,10.11.0.174:9091,0.1427333333332157,10.11.0.174:9091,0.4430625069893852
5,1596502200,10.11.0.174:9091,0.1443333333334265,10.11.0.174:9091,0.44263542708749215
6,1596502800,10.11.0.174:9091,0.14506666666681972,10.11.0.174:9091,0.44314701213584984
7,1596503400,10.11.0.174:9091,0.14306952805715387,10.11.0.174:9091,0.4429101953182125
8,1596504000,10.11.0.174:9091,0.14400000000003274,10.11.0.174:9091,0.4424244172307512
9,1596504600,10.11.0.174:9091,0.143866666666745,10.11.0.174:9091,0.44231461114223125
10,1596505200,10.11.0.174:9091,0.14640195202604858,10.11.0.174:9091,0.4421830462435439
11,1596505800,10.11.0.174:9091,0.14373333333317687,10.11.0.174:9091,0.4422306120146078
12,1596506400,10.11.0.174:9091,0.14533720899214253,10.11.0.174:9091,0.44258077705265275
13,1596507000,10.11.0.174:9091,0.14840000000014114,10.11.0.174:9091,0.4430463143864699
14,1596507600,10.11.0.174:9091,0.1446009640065546,10.11.0.174:9091,0.4427047516687236
15,1596508200,10.11.0.174:9091,0.1447333333333578,10.11.0.174:9091,0.44305997689517973
16,1596508800,10.11.0.174:9091,0.14253333333354024,10.11.0.174:9091,0.44279684709780487
17,1596509400,10.11.0.174:9091,0.14160000000002138,10.11.0.174:9091,0.4429395444109966
18,1596510000,10.11.0.174:9091,0.14299999999998061,10.11.0.174:9091,0.442476537171385
19,1596510600,10.11.0.174:9091,0.14913432756216047,10.11.0.174:9091,0.44247957328443166
20,1596511200,10.11.0.174:9091,0.14873035872621604,10.11.0.174:9091,0.44232624957557665
21,1596511800,10.11.0.174:9091,0.14526279299219894,10.11.0.174:9091,0.4425858372410638
22,1596512400,10.11.0.174:9091,0.1467745590765858,10.11.0.174:9091,0.4430301217835545
23,1596513000,10.11.0.174:9091,0.14106854758064258,10.11.0.174:9091,0.4430103870487514
24,1596513600,10.11.0.174:9091,0.1486666666665755,10.11.0.174:9091,0.44258988539179267
25,1596514200,10.11.0.174:9091,0.14873333333340122,10.11.0.174:9091,0.44286313556598966
26,1596514800,10.11.0.174:9091,0.1503343355621733,10.11.0.174:9091,0.4430124111241158
27,1596515400,10.11.0.174:9091,0.14553333333334956,10.11.0.174:9091,0.44420712160796594
28,1596516000,10.11.0.174:9091,0.14566472447034598,10.11.0.174:9091,0.4433985034998793
29,1596516600,10.11.0.174:9091,0.1459333333331931,10.11.0.174:9091,0.44333423910705894
30,1596517200,10.11.0.174:9091,0.14466666666654165,10.11.0.174:9091,0.44323202330115563
31,1596517800,10.11.0.174:9091,0.14399999999996,10.11.0.174:9091,0.44332361271139564
32,1596518400,10.11.0.174:9091,0.14766666666678552,10.11.0.174:9091,0.44429162675443057
33,1596519000,10.11.0.174:9091,0.14166761111723636,10.11.0.174:9091,0.44391160660476037
34,1596519600,10.11.0.174:9091,0.14186666666650127,10.11.0.174:9091,0.44406391827593306
35,1596520200,10.11.0.174:9091,0.14319999999992897,10.11.0.174:9091,0.44376890929156854
36,1596520800,10.11.0.174:9091,0.14459999999984002,10.11.0.174:9091,0.4443285661298313
37,1596521400,10.11.0.174:9091,0.14333620005724812,10.11.0.174:9091,0.44389440196416274
38,1596522000,10.11.0.174:9091,0.14113333333310946,10.11.0.174:9091,0.4436181156769191
39,1596522600,10.11.0.174:9091,0.14313333333333356,10.11.0.174:9091,0.44365252495811425
40,1596523200,10.11.0.174:9091,0.14293238045077472,10.11.0.174:9091,0.4435158998710158
41,1596523800,10.11.0.174:9091,0.14219905200636057,10.11.0.174:9091,0.44400572610920597
42,1596524400,10.11.0.174:9091,0.1452000000000286,10.11.0.174:9091,0.4438276074771368
43,1596525000,10.11.0.174:9091,0.14793333333342162,10.11.0.174:9091,0.4439586663569831
44,1596525600,10.11.0.174:9091,0.14433814460484806,10.11.0.174:9091,0.4439809311859918
45,1596526200,10.11.0.174:9091,0.1484666666665044,10.11.0.174:9091,0.44452085328945135
46,1596526800,10.11.0.174:9091,0.14287238156182963,10.11.0.174:9091,0.4441924470615739
47,1596527400,10.11.0.174:9091,0.14280380810142562,10.11.0.174:9091,0.4438503783249865
48,1596528000,10.11.0.174:9091,0.1422666666666555,10.11.0.174:9091,0.44343291278107444
49,1596528600,10.11.0.174:9091,0.1428666666666019,10.11.0.174:9091,0.443761319008952
50,1596529200,10.11.0.174:9091,0.14380095867321355,10.11.0.174:9091,0.4435194420029035
51,1596529800,10.11.0.174:9091,0.14519999999996797,10.11.0.174:9091,0.443392431273786
52,1596530400,10.11.0.174:9091,0.14506666666658033,10.11.0.174:9091,0.44409782153828714
53,1596531000,10.11.0.174:9091,0.14406666666671758,10.11.0.174:9091,0.44399105156281393
54,1596531600,10.11.0.174:9091,0.14553236311757262,10.11.0.174:9091,0.4442147118905825
55,1596532200,10.11.0.174:9091,0.14647154905161103,10.11.0.174:9091,0.4442379887572734
56,1596532800,10.11.0.174:9091,0.14926666666642024,10.11.0.174:9091,0.4443771439385774
57,1596533400,10.11.0.174:9091,0.14393429289512782,10.11.0.174:9091,0.44356295962323866
58,1596534000,10.11.0.174:9091,0.1453333333332739,10.11.0.174:9091,0.44370262082338374
59,1596534600,10.11.0.174:9091,0.14373333333343155,10.11.0.174:9091,0.4436241879030124
60,1596535200,10.11.0.174:9091,0.14366666666650416,10.11.0.174:9091,0.4434941410608483
61,1596535800,10.11.0.174:9091,0.14520000000007713,10.11.0.174:9091,0.4434865507782316
62,1596536400,10.11.0.174:9091,0.14706666666677243,10.11.0.174:9091,0.4440355812208312
63,1596537000,10.11.0.174:9091,0.14706666666660112,10.11.0.174:9091,0.4438529084191921
64,1596537600,10.11.0.174:9091,0.145933333333272,10.11.0.174:9091,0.4442997230558883
65,1596538200,10.11.0.174:9091,0.14440000000005213,10.11.0.174:9091,0.4442956749051594
66,1596538800,10.11.0.174:9091,0.14340000000018335,10.11.0.174:9091,0.4442992170370471
67,1596539400,10.11.0.174:9091,0.1399333333333425,10.11.0.174:9091,0.44340255165060816
68,1596540000,10.11.0.174:9091,0.14259999999988093,10.11.0.174:9091,0.4432871793548361
69,1596540600,10.11.0.174:9091,0.14399999999989788,10.11.0.174:9091,0.4435624536043975
70,1596541200,10.11.0.174:9091,0.1442666666667416,10.11.0.174:9091,0.44347339428836297
71,1596541800,10.11.0.174:9091,0.14559999999980694,10.11.0.174:9091,0.44339900951872047
72,1596542400,10.11.0.174:9091,0.1452666666664239,10.11.0.174:9091,0.4442354586630679
73,1596543000,10.11.0.174:9091,0.14340000000010455,10.11.0.174:9091,0.4441934590992561
74,1596543600,10.11.0.174:9091,0.1436666666666315,10.11.0.174:9091,0.4441555076861732
75,1596544200,10.11.0.174:9091,0.14599999999995977,10.11.0.174:9091,0.4440644242947742
76,1596544800,10.11.0.174:9091,0.14513333333330447,10.11.0.174:9091,0.4440983275571283
77,1596545400,10.11.0.174:9091,0.14760000000006135,10.11.0.174:9091,0.4443715777313253
78,1596546000,10.11.0.174:9091,0.14519999999992406,10.11.0.174:9091,0.4442253382862458
79,1596546600,10.11.0.174:9091,0.1449333333332637,10.11.0.174:9091,0.44393488347145116
80,1596547200,10.11.0.174:9091,0.1448666666666698,10.11.0.174:9091,0.4440158464860281
81,1596547800,10.11.0.174:9091,0.14619999999994132,10.11.0.174:9091,0.4440973155194461
82,1596548400,10.11.0.174:9091,0.14546666666660263,10.11.0.174:9091,0.44407353263391414
83,1596549000,10.11.0.174:9091,0.14666666666666517,10.11.0.174:9091,0.4441322308194824
84,1596549600,10.11.0.174:9091,0.14546666666648284,10.11.0.174:9091,0.44429769898052385
85,1596550200,10.11.0.174:9091,0.14486666666669407,10.11.0.174:9091,0.4440963034817639
86,1596550800,10.11.0.174:9091,0.14833333333348345,10.11.0.174:9091,0.4444505166705377
87,1596551400,10.11.0.174:9091,0.14446666666646707,10.11.0.174:9091,0.4444520347270611
88,1596552000,10.11.0.174:9091,0.1467333333334849,10.11.0.174:9091,0.4442030734572371
89,1596552600,10.11.0.174:9091,0.14386666666656917,10.11.0.174:9091,0.44427087998194525
90,1596553200,10.11.0.174:9091,0.1445333333332853,10.11.0.174:9091,0.4442258443050868
91,1596553800,10.11.0.174:9091,0.14553042272487082,10.11.0.174:9091,0.44405480993679314
92,1596554400,10.11.0.174:9091,0.14053333333340412,10.11.0.174:9091,0.4438696070409486
93,1596555000,10.11.0.174:9091,0.1392666666667416,10.11.0.174:9091,0.44443938425603335
94,1596555600,10.11.0.174:9091,0.1439999999999721,10.11.0.174:9091,0.44422888041813346
95,1596556200,10.11.0.174:9091,0.14233333333337214,10.11.0.174:9091,0.4440947854252405
96,1596556800,10.11.0.174:9091,0.14306666666661103,10.11.0.174:9091,0.44416765213835974
97,1596557400,10.11.0.174:9091,0.14513333333339082,10.11.0.174:9091,0.4439728348845341
98,1596558000,10.11.0.174:9091,0.14433333333335976,10.11.0.174:9091,0.4440937733875583
99,1596558600,10.11.0.174:9091,0.14259999999997186,10.11.0.174:9091,0.44449403429087275
