date,time,cpu,memory
2020-06-30,07:00:00,0.09773398489327106,0.3788797308730837
2020-06-30,08:00:00,0.09799999999998553,0.3798492840689658
2020-06-30,09:00:00,0.10126734178227494,0.38034165111468254
2020-06-30,10:00:00,0.09153333333331563,0.3799575744572323
2020-06-30,11:00:00,0.08659999999998547,0.38007699750223667
2020-06-30,12:00:00,0.09646666666666116,0.38011545577096684
2020-06-30,13:00:00,0.09133333333336699,0.3804023746968881
2020-06-30,14:00:00,0.09193333333334427,0.38008863618882605
2020-06-30,15:00:00,0.10206666666665436,0.38057847308528425
2020-06-30,16:00:00,0.10380000000000583,0.3802449994130054
2020-06-30,17:00:00,0.09953333333332048,0.38043577266710116
2020-06-30,18:00:00,0.09180000000000138,0.38034013302512737
2020-06-30,19:00:00,0.09553333333333171,0.3803543018609754
2020-06-30,20:00:00,0.09373333333332692,0.3803077471146178
2020-06-30,21:00:00,0.09780000000003725,0.38016656478598987
2020-06-30,22:00:00,0.09019999999999584,0.38020350496516486
2020-06-30,23:00:00,0.09226666666666365,0.3802399391144883
2020-07-01,00:00:00,0.09886666666669253,0.380400856607333
2020-07-01,01:00:00,0.0859333333333088,0.380623003712235
2020-07-01,02:00:00,0.09953266978218235,0.38045753195072485
2020-07-01,03:00:00,0.10346735644903075,0.3803927601297056
2020-07-01,04:00:00,0.10439999999999958,0.38044690532383885
2020-07-01,05:00:00,0.09873333333330322,0.380427170159622
2020-07-01,06:00:00,0.10153333333336585,0.380875006578388
2020-07-01,07:00:00,0.09553333333330007,0.38065842580185494
2020-07-01,08:00:00,0.1110000000000224,0.38059365398083567
2020-07-01,09:00:00,0.10353471379617221,0.3812094923103704
2020-07-01,10:00:00,0.0955999999999767,0.3824614101635083
2020-07-01,11:00:00,0.08706666666669247,0.3833277332696411
2020-07-01,12:00:00,0.09306666666668244,0.3827888114775667
2020-07-01,13:00:00,0.09413333333336349,0.382647123119087
2020-07-01,14:00:00,0.08926666666667699,0.38293960837337715
2020-07-01,15:00:00,0.08753333333337251,0.3828697762538408
2020-07-01,16:00:00,0.09293333333332915,0.3827619918954259
2020-07-01,17:00:00,0.09099999999997786,0.38259247189510204
2020-07-01,18:00:00,0.09806666666667829,0.3828363782836277
2020-07-01,19:00:00,0.08860000000001851,0.38252871213378614
2020-07-01,20:00:00,0.089000000000024,0.3826152432384291
2020-07-01,21:00:00,0.08800000000000693,0.382705316552034
2020-07-01,22:00:00,0.08926666666669367,0.3830428384631266
2020-07-01,23:00:00,0.08899999999998157,0.38274478688046765
2020-07-02,00:00:00,0.08660000000003833,0.38283334210451747
2020-07-02,01:00:00,0.09733333333334276,0.3839916444350885
2020-07-02,02:00:00,0.10959999999997061,0.38385198019601574
2020-07-02,03:00:00,0.09280000000002227,0.3838383173900195
2020-07-02,04:00:00,0.10846666666665347,0.4685537869249983
2020-07-02,05:00:00,0.12813333333331875,0.4692915784487959
2020-07-02,06:00:00,0.10746738311589316,0.47165473785629564
2020-07-02,07:00:00,0.11720000000001807,0.47209599588698936
2020-07-02,08:00:00,0.10120067467115126,0.47204387481226295
2020-07-02,09:00:00,0.10339999999997303,0.47206512806603484
2020-07-02,10:00:00,0.1047333333333203,0.4727528226345129
2020-07-02,11:00:00,0.0945999999999585,0.47276142514199193
2020-07-02,12:00:00,0.09239999999998286,0.4727892567838362
2020-07-02,13:00:00,0.09666666666666116,0.47307718776946095
2020-07-02,14:00:00,0.0951333333333459,0.4733701790536027
2020-07-02,15:00:00,0.09533333333330613,0.4729739576797114
2020-07-02,16:00:00,0.09766666666667825,0.4728059557689427
2020-07-02,17:00:00,0.09646666666668258,0.4730903445456054
2020-07-02,18:00:00,0.09173333333332756,0.47430481618971665
2020-07-02,19:00:00,0.09760000000003609,0.47424105642840086
2020-07-02,20:00:00,0.09506666666667626,0.4741914655029329
2020-07-02,21:00:00,0.09820000000001736,0.47458869893652766
2020-07-02,22:00:00,0.09866666666669421,0.4746443622202161
2020-07-02,23:00:00,0.09800000000001755,0.47432050311511975
2020-07-03,00:00:00,0.09793333333332346,0.4744495407273066
2020-07-03,01:00:00,0.11659999999997467,0.4745507466976492
2020-07-03,02:00:00,0.0915333333333507,0.4746342416231818
2020-07-03,03:00:00,0.22966666666664973,0.46571951372555365
2020-07-03,04:00:00,0.10646666666663974,0.4750719574449136
2020-07-03,05:00:00,0.11079999999997255,0.474598819533562
2020-07-03,06:00:00,0.10619999999999037,0.47481489428024337
2020-07-03,07:00:00,0.0987339915599773,0.47567969929682097
2020-07-03,08:00:00,0.10666666666669261,0.47559721643099173
2020-07-03,09:00:00,0.10213333333333462,0.4756685666400833
2020-07-03,10:00:00,0.10846666666666087,0.47582189368515226
2020-07-03,11:00:00,0.10540000000000929,0.47568526562518976
2020-07-03,12:00:00,0.09859999999997304,0.47581784544633854
2020-07-03,13:00:00,0.09793333333332668,0.475818857506042
2020-07-03,14:00:00,0.09226666666664547,0.4768577367916088
2020-07-03,15:00:00,0.09566666666667421,0.4768754478364188
2020-07-03,16:00:00,0.09886666666668152,0.4768946769707839
2020-07-03,17:00:00,0.10440000000001001,0.47702320855311897
2020-07-03,18:00:00,0.09586666666665279,0.4768779779856773
2020-07-03,19:00:00,0.09240000000000728,0.47707178741888345
2020-07-03,20:00:00,0.09640000000003265,0.4767965071795516
2020-07-03,21:00:00,0.09279999999997814,0.4773334048522191
2020-07-03,22:00:00,0.09886666666665765,0.47759451625570293
2020-07-03,23:00:00,0.10046666666664236,0.47691441213500063
2020-07-04,00:00:00,0.09046666666669238,0.476801061448217
